model,seed,policy,task_id,expected_behavior,predicted_behavior,action,original_call_count,final_call_count,violation_codes,violation_count,behavior_correct,sequence_exact,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call,false_tool_call,baseline_sequence_exact,baseline_false_tool_call,exact_preserved,exact_false_positive,unsafe_proposal_captured,invalid_proposal_corrected
qwen2.5-coder:1.5b,101,model_only,bioflow-abstain-001,abstain,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,101,strict,bioflow-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,sanitize,bioflow-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,model_only,bioflow-feed-001,call,call,model_only,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,strict,bioflow-feed-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,sanitize,bioflow-feed-001,call,call,pass,1,1,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,model_only,bioflow-run-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,bioflow-run-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,bioflow-run-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,bioflow-sequence-001,multi_call,multi_call,model_only,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,strict,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,sanitize,bioflow-sequence-001,multi_call,multi_call,pass,2,2,,0,True,True,1.0,1.0,1.0,,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,model_only,cross-domain-router-001,multi_call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,cross-domain-router-001,multi_call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,cross-domain-router-001,multi_call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,lca-abstain-001,abstain,multi_call,model_only,2,2,,0,False,False,0.0,1.0,0.0,False,True,False,True,False,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,sanitize,lca-abstain-001,abstain,abstain,threshold_abstain,2,0,retrieval_below_threshold,1,True,True,1.0,1.0,1.0,True,False,False,True,False,False,True,True
qwen2.5-coder:1.5b,101,model_only,lca-calc-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-calc-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,lca-calc-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,lca-calc-missing-001,clarify,clarify,model_only,0,0,,0,True,True,1.0,1.0,1.0,True,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-calc-missing-001,clarify,clarify,pass,0,0,,0,True,True,1.0,1.0,1.0,True,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,sanitize,lca-calc-missing-001,clarify,clarify,pass,0,0,,0,True,True,1.0,1.0,1.0,True,False,True,False,True,False,False,False
qwen2.5-coder:1.5b,101,model_only,lca-contribution-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-contribution-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,sanitize,lca-contribution-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,model_only,lca-discovery-001,call,clarify,model_only,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
qwen2.5-coder:1.5b,101,strict,lca-discovery-001,call,clarify,pass,0,0,,0,False,False,0.0,0.0,0.0,,False,False,False,False,False,False,False
