model,experiment_id,task_id,expected_behavior,policy,action,retrieval_top_score,retrieval_threshold,original_behavior,guarded_behavior,original_call_count,guarded_call_count,violation_codes,violation_count,baseline_behavior_correct,guarded_behavior_correct,baseline_sequence_exact,guarded_sequence_exact,baseline_tool_selection_accuracy,guarded_tool_selection_accuracy,baseline_required_argument_recall,guarded_required_argument_recall,baseline_argument_precision,guarded_argument_precision,baseline_safe_no_call,guarded_safe_no_call,baseline_false_tool_call,guarded_false_tool_call,exact_preserved,exact_false_positive,unsafe_proposal_captured,invalid_proposal_corrected
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-abstain-001,abstain,strict,threshold_abstain,0.48513501,0.6,abstain,abstain,0,0,retrieval_below_threshold,1,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-feed-001,call,strict,pass,0.64723129,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-run-001,call,strict,pass,0.68188862,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,bioflow-sequence-001,multi_call,strict,pass,0.79238655,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,cross-domain-router-001,multi_call,strict,pass,0.65130957,0.6,multi_call,multi_call,2,2,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-abstain-001,abstain,strict,threshold_abstain,0.59062771,0.6,abstain,abstain,0,0,retrieval_below_threshold,1,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-calc-001,call,strict,pass,0.82223616,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-calc-missing-001,clarify,strict,pass,0.75918479,0.6,clarify,clarify,0,0,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-contribution-001,call,strict,pass,0.69316156,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-discovery-001,call,strict,pass,0.61618555,0.6,call,call,1,1,,0,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,,,False,False,True,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,lca-method-001,call,strict,blocked,0.69286333,0.6,call,clarify,1,0,argument_not_grounded,1,True,False,False,False,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,,,False,False,False,False,False,False
qwen3:8b,domain-top3-v0-qwen3-8b,tea-invalid-001,clarify,strict,blocked,0.64843053,0.6,call,clarify,1,0,above_maximum,1,False,True,False,True,0.0,1.0,1.0,1.0,0.0,1.0,False,True,True,False,False,False,True,True
